account_id,device_id,ip_id,beneficiary_id,timestamp,amount,behavior_features,scenario_id,ground_truth_cluster
A302,D41,IP40,B302,2026-09-24T17:15:00,16500,"high_amount;shared_ip",LEGIT_BORDERLINE,NONE
A303,D42,IP41,B303,2026-09-24T17:25:00,12000,"high_amount;normal_frequency",LEGIT_BORDERLINE,NONE
A304,D43,IP41,B304,2026-09-24T17:35:00,14500,"shared_ip;normal_frequency",LEGIT_BORDERLINE,NONE
A305,D44,IP42,B305,2026-09-24T17:45:00,19500,"high_amount;normal_frequency",LEGIT_BORDERLINE,NONE
A306,D45,IP42,B306,2026-09-24T17:55:00,8500,"shared_ip;normal_frequency",LEGIT_BORDERLINE,NONE
A307,D46,IP43,B307,2026-09-24T18:05:00,15500,"high_amount;normal_frequency",LEGIT_BORDERLINE,NONE
A308,D47,IP43,B308,2026-09-24T18:15:00,9200,"shared_ip;normal_frequency",LEGIT_BORDERLINE,NONE
A309,D48,IP44,B309,2026-09-24T18:25:00,13500,"high_amount;shared_ip",LEGIT_BORDERLINE,NONE
A310,D49,IP44,B310,2026-09-24T18:35:00,11000,"high_amount;normal_frequency",LEGIT_BORDERLINE,NONE

A401,D50,IP50,B980,2026-09-24T19:05:00,15000,"high_amount;shared_beneficiary",FRAUD_MIXED,FRAUD_CLUSTER_03
A402,D51,IP50,B980,2026-09-24T19:15:00,9000,"high_frequency;shared_ip;shared_beneficiary",FRAUD_MIXED,FRAUD_CLUSTER_03
A403,D52,IP51,B980,2026-09-24T19:25:00,13500,"high_amount;shared_beneficiary",FRAUD_MIXED,FRAUD_CLUSTER_03
A404,D53,IP51,B981,2026-09-24T19:35:00,7800,"high_frequency;shared_ip;shared_beneficiary",FRAUD_MIXED,FRAUD_CLUSTER_03
A405,D54,IP52,B980,2026-09-24T19:45:00,16000,"high_amount;shared_device;shared_beneficiary",FRAUD_MIXED,FRAUD_CLUSTER_03
A406,D55,IP52,B981,2026-09-24T19:55:00,11200,"shared_device;shared_beneficiary",FRAUD_MIXED,FRAUD_CLUSTER_03
A407,D56,IP53,B980,2026-09-24T20:05:00,17500,"high_amount;rapid_transactions;shared_beneficiary",FRAUD_MIXED,FRAUD_CLUSTER_03
A408,D57,IP53,B981,2026-09-24T20:15:00,9800,"high_frequency;shared_beneficiary",FRAUD_MIXED,FRAUD_CLUSTER_03
A409,D58,IP54,B980,2026-09-24T20:25:00,14200,"high_amount;shared_ip;shared_beneficiary",FRAUD_MIXED,FRAUD_CLUSTER_03
A410,D59,IP54,B981,2026-09-24T20:35:00,11800,"shared_ip;shared_beneficiary;rapid_transactions",FRAUD_MIXED,FRAUD_CLUSTER_03
